match_id,draft_order,top_radiant_score,top_dire_score,top_verdict,mid_radiant_score,mid_dire_score,mid_verdict,bot_radiant_score,bot_dire_score,bot_verdict,analysis_error
8030398678,Dire Ban: Medusa; Radiant Ban: Shadow Fiend; Radiant Ban: Shadow Demon; Dire Ban: Enchantress; Radiant Ban: Lich; Radiant Ban: Muerta; Dire Ban: Tusk; Dire Pick: Clockwerk; Radiant Pick: Dark Willow; Dire Ban: Ogre Magi; Dire Ban: Pangolier; Radiant Ban: Razor; Radiant Pick: Dawnbreaker; Dire Pick: Nyx Assassin; Dire Pick: Enigma; Radiant Pick: Bristleback; Radiant Pick: Disruptor; Dire Pick: Luna; Dire Ban: Monkey King; Radiant Ban: Viper; Radiant Ban: Puck; Dire Ban: Earth Spirit; Dire Pick: Queen of Pain; Radiant Pick: Ember Spirit,4,0,Radiant Ahead (4 vs 0),3,1,Radiant Ahead (3 vs 1),7,0,Radiant Ahead (7 vs 0),
8030452729,Radiant Ban: Nyx Assassin; Dire Ban: Enchantress; Dire Ban: Tusk; Radiant Ban: Medusa; Dire Ban: Shadow Fiend; Dire Ban: Clockwerk; Radiant Ban: Beastmaster; Radiant Pick: Snapfire; Dire Pick: Ogre Magi; Radiant Ban: Pangolier; Radiant Ban: Shadow Demon; Dire Ban: Razor; Dire Pick: Doom; Radiant Pick: Luna; Radiant Pick: Batrider; Dire Pick: Dark Willow; Dire Pick: Gyrocopter; Radiant Pick: Sand King; Radiant Ban: Storm Spirit; Dire Ban: Dawnbreaker; Dire Ban: Mars; Radiant Ban: Huskar; Radiant Pick: Invoker; Dire Pick: Kunkka,0,1,Even Lane (0 vs 1),0,4,Dire Ahead (4 vs 0),0,4,Dire Ahead (4 vs 0),
8030486754,Radiant Ban: Alchemist; Dire Ban: Shadow Demon; Dire Ban: Naga Siren; Radiant Ban: Enchantress; Dire Ban: Shadow Fiend; Dire Ban: Marci; Radiant Ban: Sand King; Radiant Pick: Clockwerk; Dire Pick: Beastmaster; Radiant Ban: Monkey King; Radiant Ban: Morphling; Dire Ban: Gyrocopter; Dire Pick: Tusk; Radiant Pick: Earth Spirit; Radiant Pick: Crystal Maiden; Dire Pick: Muerta; Dire Pick: Puck; Radiant Pick: Medusa; Radiant Ban: Anti-Mage; Dire Ban: Night Stalker; Dire Ban: Enigma; Radiant Ban: Weaver; Radiant Pick: Visage; Dire Pick: Bristleback,0,3,Dire Ahead (3 vs 0),3,0,Radiant Ahead (3 vs 0),0,1,Even Lane (0 vs 1),
8030489380,Radiant Ban: Bristleback; Dire Ban: Naga Siren; Dire Ban: Enchantress; Radiant Ban: Beastmaster; Dire Ban: Medusa; Dire Ban: Sand King; Radiant Ban: Clockwerk; Radiant Pick: Tusk; Dire Pick: Shadow Demon; Radiant Ban: Mars; Radiant Ban: Terrorblade; Dire Ban: Shadow Fiend; Dire Pick: Pangolier; Radiant Pick: Grimstroke; Radiant Pick: Dawnbreaker; Dire Pick: Hoodwink; Dire Pick: Phantom Assassin; Radiant Pick: Earth Spirit; Radiant Ban: Invoker; Dire Ban: Morphling; Dire Ban: Luna; Radiant Ban: Monkey King; Radiant Pick: Alchemist; Dire Pick: Puck,3,1,Radiant Ahead (3 vs 1),5,0,Radiant Ahead (5 vs 0),0,0,Even Lane (0 vs 0),
8030492771,Radiant Ban: Primal Beast; Dire Ban: Naga Siren; Dire Ban: Shadow Demon; Radiant Ban: Pangolier; Dire Ban: Muerta; Dire Ban: Clockwerk; Radiant Ban: Chen; Radiant Pick: Shadow Fiend; Dire Pick: Alchemist; Radiant Ban: Mars; Radiant Ban: Marci; Dire Ban: Doom; Dire Pick: Hoodwink; Radiant Pick: Tusk; Radiant Pick: Dark Willow; Dire Pick: Pugna; Dire Pick: Dawnbreaker; Radiant Pick: Timbersaw; Radiant Ban: Puck; Dire Ban: Storm Spirit; Dire Ban: Earth Spirit; Radiant Ban: Invoker; Radiant Pick: Beastmaster; Dire Pick: Dazzle,3,0,Radiant Ahead (3 vs 0),0,7,Dire Ahead (7 vs 0),2,3,Even Lane (2 vs 3),
8030498166,Radiant Ban: Shadow Demon; Dire Ban: Naga Siren; Dire Ban: Monkey King; Radiant Ban: Medusa; Dire Ban: Shadow Fiend; Dire Ban: Sand King; Radiant Ban: Muerta; Radiant Pick: Alchemist; Dire Pick: Bristleback; Radiant Ban: Clockwerk; Radiant Ban: Razor; Dire Ban: Chen; Dire Pick: Hoodwink; Radiant Pick: Pugna; Radiant Pick: Ogre Magi; Dire Pick: Pangolier; Dire Pick: Ancient Apparition; Radiant Pick: Puck; Radiant Ban: Doom; Dire Ban: Mars; Dire Ban: Beastmaster; Radiant Ban: Timbersaw; Radiant Pick: Primal Beast; Dire Pick: Dragon Knight,6,0,Radiant Ahead (6 vs 0),5,0,Radiant Ahead (5 vs 0),4,0,Radiant Ahead (4 vs 0),
8030498203,Radiant Ban: Dawnbreaker; Dire Ban: Enchantress; Dire Ban: Naga Siren; Radiant Ban: Bristleback; Dire Ban: Pugna; Dire Ban: Shadow Demon; Radiant Ban: Beastmaster; Radiant Pick: Shadow Fiend; Dire Pick: Tusk; Radiant Ban: Enigma; Radiant Ban: Visage; Dire Ban: Clockwerk; Dire Pick: Dragon Knight; Radiant Pick: Dark Willow; Radiant Pick: Ogre Magi; Dire Pick: Pangolier; Dire Pick: Phoenix; Radiant Pick: Timbersaw; Radiant Ban: Puck; Dire Ban: Invoker; Dire Ban: Storm Spirit; Radiant Ban: Monkey King; Radiant Pick: Earth Spirit; Dire Pick: Queen of Pain,3,0,Radiant Ahead (3 vs 0),2,0,Radiant Ahead (2 vs 0),0,3,Dire Ahead (3 vs 0),
8030501408,Radiant Ban: Bristleback; Dire Ban: Shadow Demon; Dire Ban: Clockwerk; Radiant Ban: Naga Siren; Dire Ban: Shadow Fiend; Dire Ban: Tusk; Radiant Ban: Doom; Radiant Pick: Morphling; Dire Pick: Hoodwink; Radiant Ban: Elder Titan; Radiant Ban: Night Stalker; Dire Ban: Anti-Mage; Dire Pick: Medusa; Radiant Pick: Lion; Radiant Pick: Ogre Magi; Dire Pick: Pugna; Dire Pick: Timbersaw; Radiant Pick: Pangolier; Radiant Ban: Monkey King; Dire Ban: Invoker; Dire Ban: Dawnbreaker; Radiant Ban: Storm Spirit; Radiant Pick: Beastmaster; Dire Pick: Huskar,3,0,Radiant Ahead (3 vs 0),3,4,Even Lane (3 vs 4),1,0,Even Lane (1 vs 0),
8030514328,Dire Ban: Pangolier; Radiant Ban: Naga Siren; Radiant Ban: Shadow Demon; Dire Ban: Doom; Radiant Ban: Shadow Fiend; Radiant Ban: Alchemist; Dire Ban: Nyx Assassin; Dire Pick: Enchantress; Radiant Pick: Clockwerk; Dire Ban: Bristleback; Dire Ban: Hoodwink; Radiant Ban: Monkey King; Radiant Pick: Primal Beast; Dire Pick: Beastmaster; Dire Pick: Lion; Radiant Pick: Gyrocopter; Radiant Pick: Sniper; Dire Pick: Morphling; Dire Ban: Broodmother; Radiant Ban: Invoker; Radiant Ban: Earth Spirit; Dire Ban: Earthshaker; Dire Pick: Ember Spirit; Radiant Pick: Dragon Knight,2,0,Radiant Ahead (2 vs 0),6,0,Radiant Ahead (6 vs 0),6,0,Radiant Ahead (6 vs 0),
8030528776,Dire Ban: Doom; Radiant Ban: Shadow Demon; Radiant Ban: Invoker; Dire Ban: Bristleback; Radiant Ban: Pangolier; Radiant Ban: Tusk; Dire Ban: Sand King; Dire Pick: Naga Siren; Radiant Pick: Dawnbreaker; Dire Ban: Storm Spirit; Dire Ban: Shadow Fiend; Radiant Ban: Medusa; Radiant Pick: Muerta; Dire Pick: Primal Beast; Dire Pick: Dark Willow; Radiant Pick: Clockwerk; Radiant Pick: Puck; Dire Pick: Dragon Knight; Dire Ban: Morphling; Radiant Ban: Monkey King; Radiant Ban: Earth Spirit; Dire Ban: Alchemist; Dire Pick: Ember Spirit; Radiant Pick: Razor,3,0,Radiant Ahead (3 vs 0),5,0,Radiant Ahead (5 vs 0),6,0,Radiant Ahead (6 vs 0),
8030543974,Radiant Ban: Naga Siren; Dire Ban: Shadow Demon; Dire Ban: Bristleback; Radiant Ban: Hoodwink; Dire Ban: Alchemist; Dire Ban: Invoker; Radiant Ban: Morphling; Radiant Pick: Shadow Fiend; Dire Pick: Beastmaster; Radiant Ban: Medusa; Radiant Ban: Clockwerk; Dire Ban: Enchantress; Dire Pick: Tusk; Radiant Pick: Elder Titan; Radiant Pick: Pugna; Dire Pick: Dragon Knight; Dire Pick: Phoenix; Radiant Pick: Sand King; Radiant Ban: Templar Assassin; Dire Ban: Storm Spirit; Dire Ban: Earth Spirit; Radiant Ban: Sniper; Radiant Pick: Puck; Dire Pick: Riki,2,0,Radiant Ahead (2 vs 0),0,4,Dire Ahead (4 vs 0),0,3,Dire Ahead (3 vs 0),
